,1,2,3,4
0,,,,
1,,3,2,
2,,1,3,1
3,1,,1,1
4,,1,1,
5,1,1,,
6,,,2,
7,,,1,
8,1,,,
9,1,1,,
10,2,4,,2
11,2,1,3,
12,1,1,2,
13,,,1,
14,4,,2,
15,5,1,5,
16,,,,
17,,,2,
18,,,2,
19,,,,
20,,,,
21,,,,
22,,,1,
23,,,,1
24,,,,1
25,1,,2,
26,,,1,
27,,,,1
28,,,,1
29,,1,,
30,,1,,
31,,,,1
32,1,1,,
33,3,4,,1
34,1,4,7,1
35,1,,,
36,,,1,
37,,2,,
38,1,,,2
39,,,2,
40,1,6,,
41,,5,,
42,,,1,
43,,1,1,
44,,,1,
45,,,1,
46,,,1,
47,,,3,
48,,,1,
49,1,,,
50,1,,,
51,,,1,
52,,,1,
53,,,,
54,1,,,
55,,2,,
56,1,,,
57,1,,,
58,,1,,
59,2,,,6
60,,1,,
61,,8,,1
62,,1,,
63,,3,2,
64,1,1,4,2
65,,,1,
66,,1,,
67,1,1,,
68,,,2,
69,,,1,
70,2,1,,
71,14,7,17,2
72,,,,
73,,,1,
74,,,,1
75,,,,1
76,1,,3,3
77,,,,3
78,,2,,
79,,,,1
80,1,2,,
81,,,,
82,2,3,,
83,1,,,1
84,1,2,5,
85,,1,2,1
86,,1,,
87,,,,
88,1,,,
89,,,1,
90,,2,,
91,1,,,1
92,,,,1
93,,,2,
94,,1,,
95,,1,,
96,3,1,,
97,1,,,
98,1,,,
99,,3,,
100,1,,,
101,,8,,
102,,,1,
103,,1,10,
104,2,1,,
105,,,3,
106,,,,
107,,,1,
108,,,1,
109,1,,,
110,,1,,
111,,1,,
112,1,,,
113,1,,,
114,,1,,
115,1,,,2
116,,,,1
117,1,,,2
118,,,,1
119,,5,,
120,,1,,1
121,,3,,
122,,1,,
123,,,,
124,,1,,
125,,1,,
126,,,1,
127,,,,
128,,,1,
129,,,,
130,,,,1
131,,,,
132,,,,
133,1,,,
134,,,,1
135,,,,
136,,,1,
137,,,,
138,,,,
139,,1,,
140,,,1,
141,,,1,
142,1,,,
143,,,,
144,,,,1
145,1,,,
146,,,,
147,,,1,
148,,,,
149,,1,,
150,,,,1
151,,,,
152,,,,1
153,,,1,
154,,1,,
155,,,2,
156,,3,,
157,,1,,1
158,,,3,
159,1,,1,
160,,,1,1
161,,1,,
162,,,,
163,,,,
164,,1,,
165,1,,,
166,,,1,
167,,,1,
168,,,1,
169,2,1,,
170,1,4,,2
171,2,,,
172,,,,
173,,,1,
174,,1,2,
175,1,1,1,
176,,,,
177,1,,1,
178,,,1,
179,2,,,
180,2,,,
181,,,4,
182,5,,3,
183,,1,2,
184,,,2,
185,,,,
186,,,,
187,,,1,
188,,,,1
189,,,,1
190,1,,3,
191,,,,1
192,,,,1
193,,,,1
194,,,,2
195,,,,1
196,,,,
197,,,,1
198,,1,,
199,,,1,
200,,,1,
201,,,1,
202,,,,
203,,,,
204,,,1,
205,1,,,
206,,,,1
207,,,,
208,,,,
209,,,1,
210,,1,,
211,,,,
212,,,,
213,,,,
214,,,,
215,1,,,
216,1,,,
217,,,,
218,,1,,
219,1,,,
220,,1,,
221,,1,,
222,1,,,
223,,,,1
224,,,,
225,,,,1
226,,,,
227,,,2,
228,,3,,
229,1,1,4,2
230,,,1,
231,,1,,
232,,1,,
233,1,,,
234,,,2,
235,,,1,
236,1,,,
237,1,1,,
238,1,2,,
239,,,,1
240,,2,,1
241,1,,,
242,1,,,
243,,,,
244,,,1,
245,,,1,
246,1,2,1,
247,1,,1,
248,,,,
249,,,1,
250,2,,,
251,1,,,
252,1,,2,
253,,,2,
254,,,3,
255,1,,,
256,1,,,
257,3,,,
258,,1,,
259,,,4,
260,,,,
261,,,,
